Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
3.500000	0.0277447 	3.500000	0.0322888 	3.500000	0.0331497 	3.500000	0.0331497 	3.500000	0.0322721 	3.500000	1.66697e-05	
4.000000	0.0250361 	4.000000	0.0289505 	4.000000	0.0298266 	4.000000	0.0298266 	4.000000	0.0289358 	4.000000	1.47937e-05	
4.500000	0.0228452 	4.500000	0.0262654 	4.500000	0.0271455 	4.500000	0.0271455 	4.500000	0.0262521 	4.500000	1.33128e-05	
5.000000	0.0210337 	5.000000	0.0240574 	5.000000	0.0249347 	5.000000	0.0249347 	5.000000	0.0240453 	5.000000	1.21126e-05	
5.500000	0.0195088 	5.500000	0.0222087 	5.500000	0.0230786 	5.500000	0.0230786 	5.500000	0.0221975 	5.500000	1.11193e-05	
6.000000	0.0182061 	6.000000	0.0206371 	6.000000	0.021497  	6.000000	0.021497  	6.000000	0.0206268 	6.000000	1.02829e-05	
6.500000	0.0170795 	6.500000	0.019284  	6.500000	0.020132  	6.500000	0.020132  	6.500000	0.0192744 	6.500000	9.56855e-06	
7.000000	0.0160947 	7.000000	0.0181061 	7.000000	0.0189412 	7.000000	0.0189412 	7.000000	0.0180971 	7.000000	8.95096e-06	
7.500000	0.015226  	7.500000	0.0170709 	7.500000	0.0178926 	7.500000	0.0178926 	7.500000	0.0170625 	7.500000	8.41146e-06	
8.000000	0.0144536 	8.000000	0.0161535 	8.000000	0.0169616 	8.000000	0.0169616 	8.000000	0.0161456 	8.000000	7.93594e-06	
8.500000	0.0137621 	8.500000	0.0153346 	8.500000	0.016129  	8.500000	0.016129  	8.500000	0.0153271 	8.500000	7.5135e-06	
9.000000	0.0131391 	9.000000	0.0145988 	9.000000	0.0153796 	9.000000	0.0153796 	9.000000	0.0145917 	9.000000	7.1356e-06	
9.500000	0.0125747 	9.500000	0.0139339 	9.500000	0.0147013 	9.500000	0.0147013 	9.500000	0.0139271 	9.500000	6.79546e-06	
10.000000	0.0120609 	10.000000	0.0138003 	10.000000	0.0140841 	10.000000	0.0140841 	10.000000	0.0137939 	10.000000	6.4876e-06	
11.000000	0.0111594 	11.000000	0.0127843 	11.000000	0.012989  	11.000000	0.0129897 	11.000000	0.0127784 	11.000000	5.95173e-06	
12.000000	0.0103939 	12.000000	0.0119179 	12.000000	0.0120621 	12.000000	0.0120633 	12.000000	0.0119124 	12.000000	5.50087e-06	
13.000000	0.00973522	13.000000	0.0111698 	13.000000	0.0112672 	13.000000	0.0112685 	13.000000	0.0111647 	13.000000	5.11603e-06	
14.000000	0.00916205	14.000000	0.010517  	14.000000	0.0105779 	14.000000	0.0105792 	14.000000	0.0105122 	14.000000	4.78354e-06	
15.000000	0.00865848	15.000000	0.00994213	15.000000	0.00997423	15.000000	0.00997548	15.000000	0.00993763	15.000000	4.49326e-06	
16.000000	0.00821235	16.000000	0.00943178	16.000000	0.00944124	16.000000	0.00944244	16.000000	0.00942754	16.000000	4.23753e-06	
17.000000	0.00781419	17.000000	0.00897551	17.000000	0.00896734	17.000000	0.00896839	17.000000	0.0089715 	17.000000	4.01045e-06	
18.000000	0.00745652	18.000000	0.00856504	18.000000	0.00854331	18.000000	0.00854411	18.000000	0.00856123	18.000000	3.8074e-06	
19.000000	0.00713336	19.000000	0.00819369	19.000000	0.00816166	19.000000	0.00816224	19.000000	0.00819006	19.000000	3.62472e-06	
20.000000	0.00683984	20.000000	0.00785603	20.000000	0.00781624	20.000000	0.00781682	20.000000	0.00785257	20.000000	3.45944e-06	
21.000000	0.006572  	21.000000	0.00754762	21.000000	0.00750234	21.000000	0.00750297	21.000000	0.00754431	21.000000	3.30916e-06	
22.000000	0.00632655	22.000000	0.00726476	22.000000	0.00721617	22.000000	0.00721665	22.000000	0.00726158	22.000000	3.1719e-06	
23.000000	0.00610075	23.000000	0.00700434	23.000000	0.00695435	23.000000	0.00695449	23.000000	0.00700129	23.000000	3.04602e-06	
24.000000	0.00589227	24.000000	0.00676376	24.000000	0.00671384	24.000000	0.00671364	24.000000	0.00676083	24.000000	2.93014e-06	
25.000000	0.00569917	25.000000	0.0065408 	25.000000	0.00649222	25.000000	0.00649172	25.000000	0.00653798	25.000000	2.82309e-06	
27.000000	0.00535263	27.000000	0.00614042	27.000000	0.00609797	27.000000	0.00609671	27.000000	0.00613779	27.000000	2.63171e-06	
29.000000	0.00505035	29.000000	0.00579096	29.000000	0.0057578 	29.000000	0.00575623	29.000000	0.00578849	29.000000	2.46554e-06	
31.000000	0.00478422	31.000000	0.00548314	31.000000	0.00545688	31.000000	0.00545524	31.000000	0.00548082	31.000000	2.31986e-06	
33.000000	0.00454802	33.000000	0.00520985	33.000000	0.00518628	33.000000	0.00518412	33.000000	0.00520766	33.000000	2.19105e-06	
35.000000	0.00433686	35.000000	0.00496552	35.000000	0.00494374	35.000000	0.0049417 	35.000000	0.00496344	35.000000	2.07631e-06	
38.000000	0.00405888	38.000000	0.00464385	38.000000	0.00462484	38.000000	0.00462247	38.000000	0.00464192	38.000000	1.92586e-06	
41.000000	0.00381876	41.000000	0.00436604	41.000000	0.0043491 	41.000000	0.00434667	41.000000	0.00436425	41.000000	1.79647e-06	
44.000000	0.00360914	44.000000	0.0041236 	44.000000	0.00410802	44.000000	0.00410588	44.000000	0.00412191	44.000000	1.68397e-06	
47.000000	0.00342443	47.000000	0.00391008	47.000000	0.00389616	47.000000	0.00389372	47.000000	0.00390849	47.000000	1.58522e-06	
50.000000	0.00326038	50.000000	0.00372054	50.000000	0.00370777	50.000000	0.00370531	50.000000	0.00371904	50.000000	1.4978e-06	
55.000000	0.00302407	55.000000	0.00344778	55.000000	0.00343668	55.000000	0.003434  	55.000000	0.00344641	55.000000	1.37242e-06	
60.000000	0.00282456	60.000000	0.00321779	60.000000	0.00320754	60.000000	0.00320507	60.000000	0.00321653	60.000000	1.26708e-06	
65.000000	0.0026537 	65.000000	0.00302114	65.000000	0.00301171	65.000000	0.00300918	65.000000	0.00301996	65.000000	1.17727e-06	
70.000000	0.00250564	70.000000	0.00285099	70.000000	0.00284215	70.000000	0.00283958	70.000000	0.00284989	70.000000	1.09977e-06	
75.000000	0.002376  	75.000000	0.00270226	75.000000	0.00269361	75.000000	0.00269124	75.000000	0.00270123	75.000000	1.03217e-06	
