Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	0.0168347 	0.001000	0.0209998 	0.001000	0.0274601 	0.001000	0.0274601 	0.001000	0.0177576 	0.001000	0.00324217	
0.002000	0.0198288 	0.002000	0.0247472 	0.002000	0.0309142 	0.002000	0.0309142 	0.002000	0.0226331 	0.002000	0.0021141 	
0.005000	0.0258655 	0.005000	0.0323151 	0.005000	0.0373387 	0.005000	0.0373387 	0.005000	0.0311906 	0.005000	0.00112447	
0.008000	0.0300639 	0.008000	0.037557  	0.008000	0.0415189 	0.008000	0.0415189 	0.008000	0.0367676 	0.008000	0.000789367	
0.010000	0.0323548 	0.010000	0.0404205 	0.010000	0.0437324 	0.010000	0.0437324 	0.010000	0.0397543 	0.010000	0.000666205	
0.015000	0.0390024 	0.015000	0.0466512 	0.015000	0.0481468 	0.015000	0.0481468 	0.015000	0.046165  	0.015000	0.000486184	
0.020000	0.0444532 	0.020000	0.0516893 	0.020000	0.0516016 	0.020000	0.0516016 	0.020000	0.0513023 	0.020000	0.000387013	
0.025000	0.0489627 	0.025000	0.0558953 	0.025000	0.0544764 	0.025000	0.0544764 	0.025000	0.0555718 	0.025000	0.000323495	
0.030000	0.0526683 	0.030000	0.0594571 	0.030000	0.0572456 	0.030000	0.0572456 	0.030000	0.0591781 	0.030000	0.000279033	
0.035000	0.0556606 	0.035000	0.062488  	0.035000	0.0595597 	0.035000	0.0595597 	0.035000	0.062242  	0.035000	0.000246022	
0.040000	0.0580112 	0.040000	0.0650638 	0.040000	0.0614955 	0.040000	0.0614955 	0.040000	0.0648433 	0.040000	0.000220462	
0.045000	0.0597847 	0.045000	0.0672391 	0.045000	0.0631089 	0.045000	0.0631089 	0.045000	0.0670391 	0.045000	0.000200038	
0.050000	0.0610431 	0.050000	0.0690567 	0.050000	0.064443  	0.050000	0.064443  	0.050000	0.0688734 	0.050000	0.000183312	
0.055000	0.0618477 	0.055000	0.0705518 	0.055000	0.0655325 	0.055000	0.0655325 	0.055000	0.0703824 	0.055000	0.000169343	
0.060000	0.0622586 	0.060000	0.0717546 	0.060000	0.066406  	0.060000	0.066406  	0.060000	0.0715971 	0.060000	0.000157487	
0.070000	0.0621294 	0.070000	0.0733902 	0.070000	0.0676002 	0.070000	0.0676002 	0.070000	0.0732518 	0.070000	0.000138414	
0.080000	0.0610789 	0.080000	0.0741566 	0.080000	0.0681866 	0.080000	0.0681866 	0.080000	0.0740329 	0.080000	0.000123709	
0.090000	0.0594552 	0.090000	0.0742232 	0.090000	0.0682916 	0.090000	0.0682916 	0.090000	0.0741112 	0.090000	0.000111999	
0.100000	0.0575224 	0.100000	0.0737391 	0.100000	0.0680174 	0.100000	0.0680174 	0.100000	0.0736367 	0.100000	0.000102438	
0.120000	0.053409  	0.120000	0.0716196 	0.120000	0.0666494 	0.120000	0.0666494 	0.120000	0.0715319 	0.120000	8.77284e-05	
0.140000	0.0495513 	0.140000	0.068608  	0.140000	0.0645842 	0.140000	0.0645842 	0.140000	0.068531  	0.140000	7.69085e-05	
0.160000	0.0462025 	0.160000	0.0652376 	0.160000	0.0621551 	0.160000	0.0621551 	0.160000	0.065169  	0.160000	6.85932e-05	
0.180000	0.043373  	0.180000	0.0618282 	0.180000	0.0595792 	0.180000	0.0595792 	0.180000	0.0617663 	0.180000	6.19896e-05	
0.200000	0.0409923 	0.200000	0.0585538 	0.200000	0.0569934 	0.200000	0.0569934 	0.200000	0.0584972 	0.200000	5.66101e-05	
0.250000	0.0364712 	0.250000	0.0513796 	0.250000	0.0509433 	0.250000	0.0509433 	0.250000	0.0513329 	0.250000	4.66765e-05	
0.300000	0.0332475 	0.300000	0.0457043 	0.300000	0.0457905 	0.300000	0.0457905 	0.300000	0.0456645 	0.300000	3.98424e-05	
0.350000	0.0307722 	0.350000	0.0412492 	0.350000	0.0415377 	0.350000	0.0415377 	0.350000	0.0412143 	0.350000	3.48358e-05	
0.400000	0.0287649 	0.400000	0.0377034 	0.400000	0.0380427 	0.400000	0.0380427 	0.400000	0.0376724 	0.400000	3.10006e-05	
