Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
2.500000	0.00892357	2.500000	0.0104083 	2.500000	0.0105976 	2.500000	0.0105976 	2.500000	0.0104024 	2.500000	5.91568e-06	
3.000000	0.00779187	3.000000	0.00902815	3.000000	0.00923269	3.000000	0.00923269	3.000000	0.00902313	3.000000	5.02427e-06	
3.500000	0.00693297	3.500000	0.00798795	3.500000	0.00820091	3.500000	0.00820091	3.500000	0.00798357	3.500000	4.37503e-06	
4.000000	0.00625698	4.000000	0.00717369	4.000000	0.00739074	4.000000	0.00739074	4.000000	0.00716981	4.000000	3.88008e-06	
4.500000	0.00570996	4.500000	0.00651773	4.500000	0.00673612	4.500000	0.00673612	4.500000	0.00651424	4.500000	3.48967e-06	
5.000000	0.00525749	5.000000	0.00597722	5.000000	0.00619517	5.000000	0.00619517	5.000000	0.00597405	5.000000	3.17348e-06	
5.500000	0.00487654	5.500000	0.00552364	5.500000	0.00574   	5.500000	0.00574   	5.500000	0.00552073	5.500000	2.91194e-06	
6.000000	0.00455106	6.000000	0.00513722	6.000000	0.00535126	6.000000	0.00535126	6.000000	0.00513453	6.000000	2.69184e-06	
6.500000	0.00426952	6.500000	0.00480383	6.500000	0.00501508	6.500000	0.00501508	6.500000	0.00480133	6.500000	2.50393e-06	
7.000000	0.0040234 	7.000000	0.00451307	7.000000	0.00472124	7.000000	0.00472124	7.000000	0.00451073	7.000000	2.34154e-06	
7.500000	0.00380629	7.500000	0.00425711	7.500000	0.00446203	7.500000	0.00446203	7.500000	0.00425491	7.500000	2.19975e-06	
8.000000	0.00361325	8.000000	0.00402996	8.000000	0.00423156	8.000000	0.00423156	8.000000	0.00402789	8.000000	2.07481e-06	
8.500000	0.0034404 	8.500000	0.00382694	8.500000	0.00402517	8.500000	0.00402517	8.500000	0.00382497	8.500000	1.96386e-06	
9.000000	0.00328467	9.000000	0.00364432	9.000000	0.00383922	9.000000	0.00383922	9.000000	0.00364245	9.000000	1.86464e-06	
9.500000	0.0031436 	9.500000	0.00347913	9.500000	0.00367072	9.500000	0.00367072	9.500000	0.00347735	9.500000	1.77535e-06	
10.000000	0.00301515	10.000000	0.00344643	10.000000	0.0035173 	10.000000	0.0035173 	10.000000	0.00344474	10.000000	1.69456e-06	
11.000000	0.00278982	11.000000	0.00319363	11.000000	0.00324484	11.000000	0.00324486	11.000000	0.00319208	11.000000	1.55399e-06	
12.000000	0.00259845	12.000000	0.00297781	12.000000	0.0030139 	12.000000	0.00301395	12.000000	0.00297637	12.000000	1.43577e-06	
13.000000	0.00243379	13.000000	0.0027913 	13.000000	0.00281567	13.000000	0.0028157 	13.000000	0.00278996	13.000000	1.3349e-06	
14.000000	0.0022905 	14.000000	0.00262845	14.000000	0.00264365	14.000000	0.00264364	14.000000	0.0026272 	14.000000	1.24779e-06	
15.000000	0.00216461	15.000000	0.00248496	15.000000	0.0024929 	15.000000	0.0024929 	15.000000	0.00248379	15.000000	1.17176e-06	
16.000000	0.00205308	16.000000	0.00235754	16.000000	0.00235979	16.000000	0.00235976	16.000000	0.00235644	16.000000	1.1048e-06	
17.000000	0.00195354	17.000000	0.00224359	17.000000	0.00224143	17.000000	0.00224133	17.000000	0.00224254	17.000000	1.04536e-06	
18.000000	0.00186413	18.000000	0.00214105	18.000000	0.00213546	18.000000	0.00213532	18.000000	0.00214006	18.000000	9.92219e-07	
19.000000	0.00178334	19.000000	0.00204827	19.000000	0.00204003	19.000000	0.00203989	19.000000	0.00204733	19.000000	9.44424e-07	
20.000000	0.00170996	20.000000	0.0019639 	20.000000	0.00195371	20.000000	0.00195357	20.000000	0.001963  	20.000000	9.01192e-07	
21.000000	0.001643  	21.000000	0.00188683	21.000000	0.00187528	21.000000	0.00187513	21.000000	0.00188597	21.000000	8.61892e-07	
22.000000	0.00158164	22.000000	0.00181614	22.000000	0.00180372	22.000000	0.00180357	22.000000	0.00181531	22.000000	8.26005e-07	
23.000000	0.00152519	23.000000	0.00175105	23.000000	0.00173819	23.000000	0.00173804	23.000000	0.00175026	23.000000	7.93098e-07	
24.000000	0.00147307	24.000000	0.00169092	24.000000	0.00167806	24.000000	0.00167784	24.000000	0.00169016	24.000000	7.6281e-07	
25.000000	0.00142479	25.000000	0.00163519	25.000000	0.00162269	25.000000	0.00162238	25.000000	0.00163445	25.000000	7.34838e-07	
27.000000	0.00133816	27.000000	0.00153511	27.000000	0.00152404	27.000000	0.00152365	27.000000	0.00153442	27.000000	6.84839e-07	
29.000000	0.00126259	29.000000	0.00144775	29.000000	0.00143893	29.000000	0.00143855	29.000000	0.00144711	29.000000	6.41442e-07	
31.000000	0.00119606	31.000000	0.0013708 	31.000000	0.00136373	31.000000	0.00136334	31.000000	0.00137019	31.000000	6.03405e-07	
33.000000	0.001137  	33.000000	0.00130248	33.000000	0.00129599	33.000000	0.00129562	33.000000	0.00130191	33.000000	5.69782e-07	
35.000000	0.00108422	35.000000	0.0012414 	35.000000	0.00123539	35.000000	0.00123507	35.000000	0.00124086	35.000000	5.39838e-07	
38.000000	0.00101472	38.000000	0.00116098	38.000000	0.00115576	38.000000	0.00115532	38.000000	0.00116048	38.000000	5.00586e-07	
41.000000	0.000954691	41.000000	0.00109153	41.000000	0.00108687	41.000000	0.00108641	41.000000	0.00109106	41.000000	4.66841e-07	
44.000000	0.000902284	44.000000	0.00103091	44.000000	0.00102666	44.000000	0.00102625	44.000000	0.00103048	44.000000	4.37507e-07	
47.000000	0.000856108	47.000000	0.000977534	47.000000	0.000973633	47.000000	0.000973241	47.000000	0.000977122	47.000000	4.11764e-07	
50.000000	0.000815095	50.000000	0.000930149	50.000000	0.000926529	50.000000	0.000926161	50.000000	0.00092976	50.000000	3.88983e-07	
55.000000	0.000756018	55.000000	0.000861959	55.000000	0.000858706	55.000000	0.000858366	55.000000	0.000861603	55.000000	3.56317e-07	
60.000000	0.000706139	60.000000	0.000804461	60.000000	0.000801492	60.000000	0.000801156	60.000000	0.000804132	60.000000	3.2888e-07	
65.000000	0.000663426	65.000000	0.000755296	65.000000	0.000752598	65.000000	0.000752201	65.000000	0.000754991	65.000000	3.05497e-07	
70.000000	0.000626409	70.000000	0.000712758	70.000000	0.000710176	70.000000	0.000709815	70.000000	0.000712472	70.000000	2.85322e-07	
75.000000	0.000594  	75.000000	0.000675576	75.000000	0.000673084	75.000000	0.000672743	75.000000	0.000675308	75.000000	2.67732e-07	
80.000000	0.00056537	80.000000	0.000642789	80.000000	0.000640356	80.000000	0.000640034	80.000000	0.000642536	80.000000	2.52253e-07	
85.000000	0.000539881	85.000000	0.000613652	85.000000	0.000611257	85.000000	0.000610952	85.000000	0.000613414	85.000000	2.38524e-07	
90.000000	0.000517033	90.000000	0.000587583	90.000000	0.000585212	90.000000	0.000584919	90.000000	0.000587357	90.000000	2.26261e-07	
95.000000	0.000496427	95.000000	0.000564117	95.000000	0.000561823	95.000000	0.000561476	95.000000	0.000563902	95.000000	2.15238e-07	
100.000000	0.00047774	100.000000	0.000542878	100.000000	0.000540583	100.000000	0.000540251	100.000000	0.000542673	100.000000	2.05274e-07	
105.000000	0.000460711	105.000000	0.000523561	105.000000	0.000521257	105.000000	0.00052094	105.000000	0.000523365	105.000000	1.96222e-07	
110.000000	0.000445123	110.000000	0.000505914	110.000000	0.000503599	110.000000	0.000503293	110.000000	0.000505726	110.000000	1.8796e-07	
115.000000	0.000430796	115.000000	0.000489727	115.000000	0.000487398	115.000000	0.000487104	115.000000	0.000489547	115.000000	1.80389e-07	
120.000000	0.000417579	120.000000	0.000474826	120.000000	0.00047248	120.000000	0.000472196	120.000000	0.000474652	120.000000	1.73425e-07	
125.000000	0.000405346	125.000000	0.000461061	125.000000	0.000458699	125.000000	0.000458424	125.000000	0.000460894	125.000000	1.66996e-07	
130.000000	0.000393987	130.000000	0.000448306	130.000000	0.000445927	130.000000	0.000445661	130.000000	0.000448145	130.000000	1.61042e-07	
135.000000	0.00038341	135.000000	0.000436454	135.000000	0.000434052	135.000000	0.000433799	135.000000	0.000436298	135.000000	1.55513e-07	
140.000000	0.000373535	140.000000	0.00042541	140.000000	0.000423017	140.000000	0.000422747	140.000000	0.00042526	140.000000	1.50363e-07	
145.000000	0.000364292	145.000000	0.000415096	145.000000	0.000412718	145.000000	0.000412423	145.000000	0.00041495	145.000000	1.45554e-07	
150.000000	0.00035562	150.000000	0.000405439	150.000000	0.000403044	150.000000	0.000402758	150.000000	0.000405298	150.000000	1.41054e-07	
155.000000	0.000343411	155.000000	0.00039638	155.000000	0.000393966	155.000000	0.000393691	155.000000	0.000396243	155.000000	1.36833e-07	
160.000000	0.000336255	160.000000	0.000387863	160.000000	0.000385437	160.000000	0.000385167	160.000000	0.00038773	160.000000	1.32866e-07	
165.000000	0.000329506	165.000000	0.000379842	165.000000	0.000377403	165.000000	0.000377139	165.000000	0.000379713	165.000000	1.29129e-07	
170.000000	0.000323132	170.000000	0.000372274	170.000000	0.000369823	170.000000	0.000369566	170.000000	0.000372148	170.000000	1.25605e-07	
175.000000	0.0003171 	175.000000	0.000365122	175.000000	0.000362661	175.000000	0.000362409	175.000000	0.000365  	175.000000	1.22274e-07	
180.000000	0.000311383	180.000000	0.000358352	180.000000	0.000355882	180.000000	0.000355636	180.000000	0.000358233	180.000000	1.19121e-07	
185.000000	0.000305958	185.000000	0.000351934	185.000000	0.000349457	185.000000	0.000349216	185.000000	0.000351818	185.000000	1.16131e-07	
190.000000	0.000300802	190.000000	0.000345842	190.000000	0.00034336	190.000000	0.000343122	190.000000	0.000345729	190.000000	1.13294e-07	
195.000000	0.000295895	195.000000	0.000340052	195.000000	0.000337561	195.000000	0.000337331	195.000000	0.000339941	195.000000	1.10596e-07	
200.000000	0.00029122	200.000000	0.00033454	200.000000	0.000332044	200.000000	0.00033182	200.000000	0.000334432	200.000000	1.08028e-07	
210.000000	0.000282501	210.000000	0.00032428	210.000000	0.000321813	210.000000	0.000321562	210.000000	0.000324176	210.000000	1.03245e-07	
