3.000000	0.870456  	3.000000	0.733609  	3.000000	0.730175  	3.000000	0.730175  	3.000000	0.733128  	3.000000	0.000480748	
3.500000	0.785977  	3.500000	0.667253  	3.500000	0.666396  	3.500000	0.666396  	3.500000	0.666833  	3.500000	0.000419859	
4.000000	0.717228  	4.000000	0.613328  	4.000000	0.61323   	4.000000	0.61323   	4.000000	0.612955  	4.000000	0.000373281	
4.500000	0.660162  	4.500000	0.568428  	4.500000	0.568275  	4.500000	0.568275  	4.500000	0.568092  	4.500000	0.000336435	
5.000000	0.612008  	5.000000	0.530281  	5.000000	0.529782  	5.000000	0.529782  	5.000000	0.529974  	5.000000	0.000306518	
5.500000	0.570808  	5.500000	0.497379  	5.500000	0.496456  	5.500000	0.496456  	5.500000	0.497097  	5.500000	0.000281717	
6.000000	0.535139  	6.000000	0.468661  	6.000000	0.467322  	6.000000	0.467322  	6.000000	0.4684    	6.000000	0.000260806	
6.500000	0.503945  	6.500000	0.443347  	6.500000	0.441631  	6.500000	0.441631  	6.500000	0.443104  	6.500000	0.000242922	
7.000000	0.476423  	7.000000	0.420849  	7.000000	0.418803  	7.000000	0.418803  	7.000000	0.420621  	7.000000	0.000227442	
7.500000	0.451952  	7.500000	0.400708  	7.500000	0.398378  	7.500000	0.398378  	7.500000	0.400494  	7.500000	0.000213907	
8.000000	0.430044  	8.000000	0.382565  	8.000000	0.379993  	8.000000	0.379993  	8.000000	0.382363  	8.000000	0.000201964	
8.500000	0.410311  	8.500000	0.366129  	8.500000	0.363351  	8.500000	0.363351  	8.500000	0.365938  	8.500000	0.000191345	
9.000000	0.392441  	9.000000	0.351166  	9.000000	0.348212  	9.000000	0.348212  	9.000000	0.350984  	9.000000	0.000181838	
9.500000	0.376177  	9.500000	0.337481  	9.500000	0.334379  	9.500000	0.334379  	9.500000	0.337308  	9.500000	0.000173274	
10.000000	0.361309  	10.000000	0.326469  	10.000000	0.321685  	10.000000	0.321685  	10.000000	0.326303  	10.000000	0.000165518	
11.000000	0.335092  	11.000000	0.304931  	11.000000	0.299308  	11.000000	0.299552  	11.000000	0.304779  	11.000000	0.000152003	
