Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
3.500000	0.0234551 	3.500000	0.020033  	3.500000	0.0200502 	3.500000	0.0200502 	3.500000	0.0200208 	3.500000	1.21761e-05	
4.000000	0.0211681 	4.000000	0.0181782 	4.000000	0.0181753 	4.000000	0.0181753 	4.000000	0.0181674 	4.000000	1.08181e-05	
4.500000	0.0193175 	4.500000	0.0166721 	4.500000	0.0166523 	4.500000	0.0166523 	4.500000	0.0166623 	4.500000	9.74465e-06	
5.000000	0.0177868 	5.000000	0.0154218 	5.000000	0.0153881 	5.000000	0.0153881 	5.000000	0.0154129 	5.000000	8.87371e-06	
5.500000	0.016498  	5.500000	0.0143653 	5.500000	0.0143201 	5.500000	0.0143201 	5.500000	0.0143572 	5.500000	8.15214e-06	
6.000000	0.0153968 	6.000000	0.0134594 	6.000000	0.0134045 	6.000000	0.0134045 	6.000000	0.0134519 	6.000000	7.54404e-06	
6.500000	0.0144443 	6.500000	0.012673  	6.500000	0.01261   	6.500000	0.01261   	6.500000	0.012666  	6.500000	7.02423e-06	
7.000000	0.0136117 	7.000000	0.0119833 	7.000000	0.0119133 	7.000000	0.0119133 	7.000000	0.0119767 	7.000000	6.57451e-06	
7.500000	0.0128772 	7.500000	0.0113727 	7.500000	0.0112969 	7.500000	0.0112969 	7.500000	0.0113665 	7.500000	6.1814e-06	
8.000000	0.0122241 	8.000000	0.010828  	8.000000	0.0107473 	8.000000	0.0107473 	8.000000	0.0108222 	8.000000	5.83469e-06	
8.500000	0.0116393 	8.500000	0.0103388 	8.500000	0.0102538 	8.500000	0.0102538 	8.500000	0.0103332 	8.500000	5.52652e-06	
9.000000	0.0111125 	9.000000	0.00989657	9.000000	0.009808  	9.000000	0.009808  	9.000000	0.00989132	9.000000	5.25069e-06	
9.500000	0.0106352 	9.500000	0.00949475	9.500000	0.00940309	9.500000	0.00940309	9.500000	0.00948975	9.500000	5.0023e-06	
10.000000	0.0102006 	10.000000	0.00917149	10.000000	0.00903351	10.000000	0.00903351	10.000000	0.00916671	10.000000	4.77738e-06	
11.000000	0.00943831	11.000000	0.0085462 	11.000000	0.00838502	11.000000	0.0083851 	11.000000	0.00854181	11.000000	4.38564e-06	
12.000000	0.00879089	12.000000	0.00800565	12.000000	0.00783272	12.000000	0.00783289	12.000000	0.0080016 	12.000000	4.05579e-06	
13.000000	0.0082338 	13.000000	0.00753376	13.000000	0.00735645	13.000000	0.00735655	13.000000	0.00752998	13.000000	3.77406e-06	
14.000000	0.00774904	14.000000	0.00711819	14.000000	0.00694118	14.000000	0.00694117	14.000000	0.00711466	14.000000	3.53049e-06	
15.000000	0.00732315	15.000000	0.0067494 	15.000000	0.00657553	15.000000	0.00657554	15.000000	0.00674608	15.000000	3.31772e-06	
16.000000	0.00694583	16.000000	0.00641985	16.000000	0.00625118	16.000000	0.00625109	16.000000	0.00641672	16.000000	3.13018e-06	
17.000000	0.00660908	17.000000	0.00612356	17.000000	0.00596146	17.000000	0.00596111	17.000000	0.0061206 	17.000000	2.96357e-06	
18.000000	0.00630657	18.000000	0.00585569	18.000000	0.0057008 	18.000000	0.00570033	18.000000	0.00585288	18.000000	2.81452e-06	
19.000000	0.00603325	19.000000	0.0056123 	19.000000	0.00546495	19.000000	0.00546448	19.000000	0.00560962	19.000000	2.68037e-06	
20.000000	0.005785  	20.000000	0.00539014	20.000000	0.00525061	20.000000	0.00525014	20.000000	0.00538758	20.000000	2.55895e-06	
21.000000	0.00555847	21.000000	0.00518653	21.000000	0.00505497	21.000000	0.00505446	21.000000	0.00518408	21.000000	2.44851e-06	
22.000000	0.00535087	22.000000	0.0049992 	22.000000	0.0048756 	22.000000	0.00487511	22.000000	0.00499685	22.000000	2.3476e-06	
23.000000	0.00515989	23.000000	0.00482626	23.000000	0.00471062	23.000000	0.00471012	23.000000	0.004824  	23.000000	2.25503e-06	
24.000000	0.00498357	24.000000	0.00466608	24.000000	0.00455854	24.000000	0.00455784	24.000000	0.00466392	24.000000	2.16978e-06	
25.000000	0.00482024	25.000000	0.0045173 	25.000000	0.00441789	25.000000	0.00441688	25.000000	0.00451521	25.000000	2.09101e-06	
27.000000	0.00452715	27.000000	0.00424931	27.000000	0.00416552	27.000000	0.00416424	27.000000	0.00424736	27.000000	1.95013e-06	
29.000000	0.00427149	29.000000	0.00401454	29.000000	0.00394572	29.000000	0.00394446	29.000000	0.00401271	29.000000	1.82774e-06	
31.000000	0.00404641	31.000000	0.00380711	31.000000	0.00374837	31.000000	0.0037471 	31.000000	0.00380539	31.000000	1.72039e-06	
33.000000	0.00384663	33.000000	0.00362245	33.000000	0.00356855	33.000000	0.00356736	33.000000	0.00362083	33.000000	1.62543e-06	
35.000000	0.00366804	35.000000	0.00345696	35.000000	0.00340728	35.000000	0.00340622	35.000000	0.00345542	35.000000	1.54081e-06	
38.000000	0.00343292	38.000000	0.00323853	38.000000	0.00319484	38.000000	0.00319341	38.000000	0.0032371 	38.000000	1.4298e-06	
